A11,A12,A13, A14,A2,A30,A31,A32,A33,A34,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A410,A5,A61,A62,A63,A64,A65,A71,A72,A73,A74,A75,A8,A91,A92,A93,A94,A95,A101,A102,A103,A11,A121,A122,A123,A124,A13,A141,A142,A143,A151,A152,A153,A16,A171,A172,A173,A174,A18,A191,A192,A201,A202,Good/Bad
1.0,0,0.0,0,0.029411764705882353,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.061846594035435236,1,0,0,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0,0,0.3333333333333333,1,0,0,0,0.30357142857142855,1,0,0,0,1,0,0.0,0,1,0,0,0.0,0,1,1,0,0
0.0,0,0.0,1,0.029411764705882353,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.009684164190601958,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,0,1,0,0,1.0,0,0,1,0,0.35714285714285715,0,0,1,0,1,0,0.0,0,1,0,0,0.0,1,0,1,0,0
0.0,0,1.0,0,0.11764705882352941,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008748761967646087,0,0,0,1,0,0,0,1,0,0,0.6666666666666666,0,1,0,0,0,1,0,0,0.6666666666666666,1,0,0,0,0.4107142857142857,0,0,1,1,0,0,0.3333333333333333,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.04411764705882353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.11912622427643887,1,0,0,0,0,0,0,1,0,0,0.6666666666666666,0,0,1,0,0,0,0,1,0.3333333333333333,1,0,0,0,0.26785714285714285,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.8235294117647058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.36238582590513924,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.7857142857142857,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,0,1,1,0,1
0.0,1,0.0,0,0.20588235294117646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09150434686915374,0,0,0,1,0,0,1,0,0,0,0.6666666666666666,0,0,0,1,0,1,0,0,0.6666666666666666,1,0,0,0,0.30357142857142855,1,0,0,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
1.0,0,0.0,0,0.29411764705882354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20743919885550788,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.14285714285714285,0,1,0,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.20588235294117646,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3090128755364807,0,1,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.19642857142857142,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,0,1,1,0,0
0.0,0,0.0,1,0.11764705882352941,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.055793991416309016,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.6785714285714286,0,0,1,1,0,0,0.0,0,1,0,0,0.0,1,0,1,0,0
0.0,0,1.0,0,0.11764705882352941,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.06734896005282272,1,0,0,0,0,0,1,0,0,0,1.0,0,1,0,0,0,1,0,0,0.0,0,1,0,0,0.25,1,0,0,0,1,0,0.0,0,0,0,1,0.0,0,1,1,0,0
0.0,1,0.0,0,0.6029411764705882,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.24738637614174094,1,0,0,0,0,0,1,0,0,0,1.0,0,0,1,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.10714285714285714,0,0,1,0,1,0,0.3333333333333333,0,1,0,0,0.0,1,0,1,0,1
0.0,0,0.0,1,0.6470588235294118,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.32243864861890614,1,0,0,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0,0,0.6666666666666666,0,0,0,1,0.21428571428571427,1,0,0,0,0,1,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,0,1.0,0,0.20588235294117646,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10179377132166832,1,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0,0,0,1,0,0.3333333333333333,1,0,0,0,0.32142857142857145,0,1,0,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,1
0.0,0,1.0,0,0.08823529411764706,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0536480686695279,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.32142857142857145,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,1,0.0,0,0.07352941176470588,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.011444921316165951,1,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0,0,1,0,0,0.6666666666666666,1,0,0,0,0.08928571428571429,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.38235294117647056,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.11461428414218114,0,0,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.19642857142857142,1,0,0,0,1,0,0.0,0,0,0,1,0.0,1,0,1,0,0
0.0,1,0.0,0,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04996148343787829,0,0,1,0,0,0,0,1,0,0,0.6666666666666666,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0.125,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,1,0.0,0,0.20588235294117646,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.32761087267525035,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,1.0,1,0,0,0,0.44642857142857145,0,0,1,0,1,0,0.0,0,1,0,0,1.0,0,1,1,0,0
1.0,0,0.0,0,0.38235294117647056,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.3266754704522945,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,1,0,1,0,0,1.0,0,0,1,0,0.08928571428571429,0,0,1,1,0,0,0.3333333333333333,0,0,1,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.6470588235294118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.324254429404644,1,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,1,0,0,1.0,0,0,0,1,0.6964285714285714,0,1,0,0,0,1,0.3333333333333333,0,1,0,0,0.0,1,0,1,0,1
0.0,0,0.0,1,0.10294117647058823,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.06289204357873886,1,0,0,0,0,0,1,0,0,0,1.0,0,1,0,0,0,1,0,0,1.0,0,0,1,0,0.2857142857142857,0,0,1,0,1,0,0.3333333333333333,0,0,0,1,0.0,1,0,1,0,0
0.0,0,0.0,1,0.47058823529411764,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1127434796962694,0,0,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,1,0,0.35714285714285715,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.029411764705882353,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06063607351160999,0,0,1,0,0,1,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.07142857142857142,0,0,1,1,0,0,0.0,1,0,0,0,0.0,0,1,1,0,0
0.0,0,0.0,1,0.10294117647058823,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.38395510069329813,1,0,0,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.35714285714285715,0,0,1,0,1,0,0.3333333333333333,0,1,0,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10030813249697369,0,1,0,0,0,0,0,1,0,0,1.0,0,1,0,0,0,0,1,0,0.3333333333333333,1,0,0,0,0.16071428571428573,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.29411764705882354,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.11461428414218114,0,0,0,0,1,0,1,0,0,0,1.0,0,0,1,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.17857142857142858,1,0,0,0,1,0,0.0,0,1,0,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.3382352941176471,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.31446021789369427,1,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.19642857142857142,0,0,1,0,1,0,0.3333333333333333,0,0,0,1,0.0,0,1,1,0,0
0.0,0,0.0,1,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.055683944095961266,1,0,0,0,0,0,0,1,0,0,0.6666666666666666,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.10714285714285714,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.20588235294117646,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17211400902388027,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.0,0,1,0,0,0.21428571428571427,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,1,0.0,0,0.47058823529411764,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.10867172884340266,1,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.6785714285714286,1,0,0,0,0,1,0.3333333333333333,0,0,1,0,0.0,0,1,1,0,1
0.0,0,0.0,1,0.029411764705882353,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.029327610872675252,0,0,0,0,1,0,0,1,0,0,0.0,0,0,1,0,0,0,0,1,0.3333333333333333,1,0,0,0,0.125,0,1,0,0,1,0,0.0,0,1,0,0,1.0,1,0,1,0,0
0.0,1,0.0,0,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3421371189611533,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.0,0,0,0,1,0.5892857142857143,0,0,1,0,1,0,0.0,0,0,0,1,0.0,0,1,1,0,1
0.0,0,0.0,1,0.47058823529411764,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5126004181798173,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,1,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.21428571428571427,0,1,0,0,1,0,0.3333333333333333,0,0,1,0,0.0,1,0,1,0,0
0.0,0,1.0,0,0.20588235294117646,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09414548255749973,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,0,1,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.07142857142857142,0,0,1,0,1,0,0.0,0,0,0,1,0.0,1,0,1,0,0
1.0,0,0.0,0,0.47058823529411764,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3289864641795972,1,0,0,0,0,0,1,0,0,0,1.0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0.07142857142857142,0,0,1,1,0,0,0.3333333333333333,0,1,0,0,0.0,0,1,1,0,1
0.0,1,0.0,0,0.07352941176470588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0627819962583911,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,0,1,0,1,0,0,0.0,1,0,0,0,0.14285714285714285,1,0,0,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,1,0.0,0,0.16176470588235295,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.07081545064377683,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,0,0,1,1.0,1,0,0,0,0.5535714285714286,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,0,1,1,0,0
0.0,1,0.0,0,0.47058823529411764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09370529327610873,1,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.75,0,0,1,0,0,1,0.0,0,0,0,1,0.0,0,1,1,0,1
0.0,1,0.0,0,0.6470588235294118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7797402883239793,1,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.10714285714285714,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,1
0.0,0,0.0,1,0.29411764705882354,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.16127434796962695,1,0,0,0,0,0,1,0,0,0,1.0,0,1,0,0,0,1,0,0,1.0,0,1,0,0,0.125,0,0,1,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
0.0,0,0.0,1,0.3382352941176471,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2718168812589413,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.5178571428571429,0,0,1,0,1,0,1.0,0,0,1,0,1.0,0,1,1,0,0
0.0,0,0.0,1,0.11764705882352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10570045119401343,1,0,0,0,0,0,1,0,0,0,0.3333333333333333,0,1,0,0,0,1,0,0,0.3333333333333333,0,0,1,0,0.17857142857142858,1,0,0,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,1,0.0,0,0.11764705882352941,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041652910751623196,0,0,0,1,0,0,0,1,0,0,1.0,0,0,0,1,0,1,0,0,0.0,1,0,0,0,0.05357142857142857,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.47058823529411764,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08633212281280951,1,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.32142857142857145,0,1,0,0,0,1,0.0,0,0,1,0,0.0,0,1,1,0,1
0.0,0,0.0,1,0.47058823529411764,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1179707274127875,0,0,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0,1,0,0,1.0,0,0,1,0,0.10714285714285714,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.47058823529411764,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4337515131506548,1,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.19642857142857142,1,0,0,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.04411764705882353,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.02641135688345989,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.48214285714285715,0,0,1,1,0,0,0.3333333333333333,0,1,0,0,0.0,0,1,1,0,0
1.0,0,0.0,0,0.058823529411764705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.050291625398921534,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.5714285714285714,1,0,0,0,0,1,0.3333333333333333,0,0,0,1,1.0,0,1,1,0,0
0.0,1,0.0,0,0.5588235294117647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.3138549576317817,1,0,0,0,0,0,0,0,1,0,0.3333333333333333,0,1,0,0,0,1,0,0,0.0,1,0,0,0,0.39285714285714285,1,0,0,0,1,0,0.3333333333333333,0,1,0,0,0.0,1,0,1,0,0
1.0,0,0.0,0,0.47058823529411764,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09502586112028172,0,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.375,0,0,1,0,1,0,0.0,0,0,0,1,0.0,0,1,1,0,1
1.0,0,0.0,0,0.11764705882352941,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0702101903818642,1,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,1.0,0,0,0,1,0.8392857142857143,0,0,1,0,0,1,0.3333333333333333,0,0,0,1,0.0,1,0,1,0,0
1.0,0,0.0,0,0.5588235294117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.20441289754594474,1,0,0,0,0,0,1,0,0,0,1.0,0,0,1,0,0,1,0,0,0.6666666666666666,0,0,1,0,0.26785714285714285,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,1
0.0,1,0.0,0,0.10294117647058823,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.24876196764608782,1,0,0,0,0,0,0,0,1,0,0.3333333333333333,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0.5714285714285714,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.7352941176470589,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5054473423572136,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0,0,1,0,0,1,0,0,0.3333333333333333,0,1,0,0,0.35714285714285715,0,0,1,0,1,0,0.0,0,1,0,0,1.0,1,0,1,0,0
0.0,1,0.0,0,0.38235294117647056,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1970947507428194,1,0,0,0,0,0,1,0,0,0,0.3333333333333333,0,0,0,1,0,1,0,0,0.0,0,1,0,0,0.05357142857142857,0,0,1,0,1,0,0.0,0,0,1,0,0.0,1,0,1,0,0
0.0,0,0.0,1,0.29411764705882354,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.313249697369869,0,0,0,0,1,0,1,0,0,0,0.0,0,1,0,0,0,1,0,0,0.0,0,0,1,0,0.44642857142857145,0,0,1,0,1,0,0.3333333333333333,0,0,1,0,0.0,0,1,1,0,1
0.0,0,0.0,1,0.16176470588235295,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0529877847474414,0,0,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,1,0,0,0.6666666666666666,0,1,0,0,0.5,0,1,0,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,0
