Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
36,no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Three,unknown / no property,31,bank,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
37,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,... < 100 DM, 1 <= ... < 4 years,Four,male: single,co-applicant,Two,real estate,37,stores,own,One,skilled employee / official,One,none,yes,Bad
38,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,37,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
39,0 <= 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Three,real estate,24,none,own,One,skilled employee / official,One,none,yes,Good
40,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Two,car or other,30,bank,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
41,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM, 1 <= ... < 4 years,Three,male: divorced/separated,none,One,car or other,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
42,0 <= 200 DM,18,delay in paying off in the past,repairs,6204,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Four,real estate,44,none,own,One,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
43,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,One,male: married/widowed,none,Four,car or other,24,none,rent,Two,skilled employee / official,One,none,yes,Good
44,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Four,unknown / no property,58,stores,for free,Two,unskilled - resident,One,none,yes,Bad
45,no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,car or other,35,none,own,Two,management / self-employed / highly qualified employee / officer,One,none,yes,Good
46,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Four,car or other,39,none,own,One,skilled employee / official,One,none,yes,Good
47,... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,One,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,23,none,rent,One,unemployed/unskilled - non-resident,One,"yes, registered under the customers name",yes,Good
48,no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Four,building society savings agreement/life insurance,39,none,own,Two,unskilled - resident,One,none,yes,Good
49,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,co-applicant,Two,real estate,28,none,own,One,skilled employee / official,One,none,yes,Good
50,0 <= 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/no savings account,... < 1 year,Four,male: single,none,Two,building society savings agreement/life insurance,29,bank,own,One,unskilled - resident,One,none,yes,Good
51,0 <= 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,One,male: single,none,Two,car or other,30,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
52,no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,car or other,25,none,own,One,skilled employee / official,One,none,yes,Good
53,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,One,building society savings agreement/life insurance,31,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
54,0 <= 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,57,bank,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
55,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account, 1 <= ... < 4 years,One,male: single,guarantor,Two,real estate,26,stores,own,One,unskilled - resident,Two,none,yes,Good
56,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/no savings account,unemployed,Two,male: single,none,One,unknown / no property,52,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
57,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,car or other,31,stores,own,Two,skilled employee / official,One,none,yes,Good
58,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,Three,female: divorced/separated/married,none,Two,car or other,23,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
59,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,co-applicant,Four,unknown / no property,23,none,rent,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
60,0 <= 200 DM,9,existing credits paid back duly till now,business,1391,... < 100 DM, 1 <= ... < 4 years,Two,male: married/widowed,none,One,real estate,27,bank,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
61,0 <= 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/no savings account,... >= 7 years,Four,male: single,guarantor,Four,real estate,50,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
62,0 <= 200 DM,36,no credits taken/all credits paid back duly,business,1953,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,61,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
63,0 <= 200 DM,48,no credits taken/all credits paid back duly,business,14421,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,25,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
64,no checking account,24,existing credits paid back duly till now,radio/television,3181,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
65,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,48,none,own,Four,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
66,no checking account,12,existing credits paid back duly till now,radio/television,2171,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,Two,car or other,29,bank,own,One,skilled employee / official,One,none,yes,Good
67,0 <= 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,One,real estate,22,none,own,One,skilled employee / official,One,none,yes,Good
68,no checking account,36,existing credits paid back duly till now,education,1819,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,37,stores,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
69,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/no savings account, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,25,none,own,One,skilled employee / official,One,none,yes,Good
70,no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,30,bank,own,One,skilled employee / official,One,none,yes,Good
71,no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/no savings account,... >= 7 years,Four,male: single,none,Two,building society savings agreement/life insurance,46,none,rent,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Good
72,... < 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,... < 100 DM,... >= 7 years,Three,male: single,none,Four,unknown / no property,51,bank,for free,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
73,0 <= 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,One,real estate,41,bank,own,Two,unskilled - resident,One,none,yes,Good
74,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,unknown / no property,40,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
75,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,66,none,for free,Two,management / self-employed / highly qualified employee / officer,One,none,yes,Good
76,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,Four,male: single,none,Three,car or other,34,none,own,One,skilled employee / official,One,none,yes,Bad
77,0 <= 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Four,building society savings agreement/life insurance,51,none,own,One,skilled employee / official,One,none,yes,Good
78,no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,Two,building society savings agreement/life insurance,39,none,own,One,unskilled - resident,Two,none,yes,Good
79,0 <= 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... < 100 DM,... < 1 year,Two,male: married/widowed,none,One,building society savings agreement/life insurance,22,none,own,One,skilled employee / official,One,none,yes,Good
80,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/no savings account,... < 1 year,One,female: divorced/separated/married,none,One,car or other,44,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
81,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,47,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
82,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,24,none,rent,One,unskilled - resident,One,none,yes,Good
83,... < 0 DM,24,existing credits paid back duly till now,others,1755,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,guarantor,Four,real estate,58,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
84,... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... < 100 DM,... >= 7 years,Three,male: single,none,Four,real estate,52,none,own,One,unskilled - resident,One,none,yes,Good
85,no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,guarantor,Two,real estate,29,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
86,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,building society savings agreement/life insurance,27,none,own,Two,skilled employee / official,One,none,yes,Good
87,0 <= 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM, 1 <= ... < 4 years,One,male: single,none,Four,unknown / no property,47,none,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Bad
88,... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: single,none,Three,car or other,30,none,own,One,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
89,... < 0 DM,12,no credits taken/all credits paid back duly,repairs,1108,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Three,real estate,28,none,own,Two,skilled employee / official,One,none,yes,Bad
90,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,56,none,own,One,skilled employee / official,One,none,yes,Good
91,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,... >= 7 years,Four,male: single,none,Three,real estate,54,none,own,One,skilled employee / official,One,none,yes,Good
92,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/no savings account,... >= 7 years,Four,female: divorced/separated/married,none,Three,building society savings agreement/life insurance,33,bank,own,One,unskilled - resident,Two,none,yes,Bad
93,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/no savings account,... >= 7 years,Four,male: single,co-applicant,Four,unknown / no property,20,none,rent,Two,skilled employee / official,One,none,yes,Good
94,0 <= 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,Four,male: single,none,Four,real estate,54,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
95,0 <= 200 DM,54,no credits taken/all credits paid back duly,business,15945,... < 100 DM,... < 1 year,Three,male: single,none,Four,unknown / no property,58,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
96,no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Two,car or other,61,none,own,One,skilled employee / official,One,none,yes,Good
97,0 <= 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,male: single,none,Four,car or other,34,none,own,One,skilled employee / official,One,none,yes,Good
98,0 <= 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,36,none,own,One,skilled employee / official,One,none,yes,Good
99,0 <= 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,Three,male: single,none,Four,building society savings agreement/life insurance,36,bank,rent,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
100,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,Four,male: married/widowed,none,Four,real estate,41,none,rent,One,unskilled - resident,One,none,yes,Good
101,0 <= 200 DM,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,car or other,24,none,rent,One,skilled employee / official,One,none,yes,Good
102,no checking account,6,delay in paying off in the past,radio/television,932,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,real estate,24,none,own,One,skilled employee / official,One,none,yes,Good
103,0 <= 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Three,car or other,35,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
104,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,... < 1 year,Two,male: married/widowed,none,Four,car or other,26,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
105,0 <= 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,... < 100 DM, 1 <= ... < 4 years,Two,male: single,co-applicant,Three,car or other,39,none,own,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Bad
106,no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,Two,male: single,none,Four,unknown / no property,39,bank,own,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Bad
107,0 <= 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Two,car or other,32,none,own,One,skilled employee / official,One,none,yes,Good
108,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/no savings account,... < 1 year,One,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,30,none,own,One,skilled employee / official,One,"yes, registered under the customers name",no,Good
109,0 <= 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,... >= 7 years,One,male: married/widowed,none,Two,real estate,35,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
110,0 <= 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,... >= 7 years,One,male: divorced/separated,none,Two,car or other,31,bank,own,Two,skilled employee / official,Two,none,yes,Good
111,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,23,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
112,0 <= 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Three,real estate,28,none,rent,One,unskilled - resident,One,none,yes,Good
113,no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,real estate,25,stores,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
114,... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,... >= 7 years,Three,male: married/widowed,none,One,real estate,35,none,own,One,skilled employee / official,One,none,yes,Good
115,no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/no savings account,... >= 7 years,Four,male: single,none,One,real estate,47,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
116,... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Three,car or other,30,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
117,... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/no savings account,... < 1 year,Two,female: divorced/separated/married,co-applicant,Three,real estate,27,none,rent,Two,skilled employee / official,One,none,no,Good
118,... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Four,car or other,23,none,own,Two,skilled employee / official,One,none,yes,Bad
119,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,Three,male: divorced/separated,none,Three,car or other,36,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
120,... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,real estate,25,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
121,no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Two,car or other,41,none,rent,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
122,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,real estate,24,none,rent,One,unskilled - resident,One,none,yes,Good
123,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,63,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
124,0 <= 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/no savings account,... < 1 year,Four,female: divorced/separated/married,none,Three,real estate,27,none,rent,One,skilled employee / official,One,none,yes,Bad
125,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,building society savings agreement/life insurance,30,none,own,Two,skilled employee / official,One,none,yes,Good
126,... < 0 DM,12,existing credits paid back duly till now,radio/television,701,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Two,real estate,40,none,own,One,unskilled - resident,One,none,yes,Good
